sample_id,is_inlier_max_diff,group_id,score,is_inlier_1,is_inlier_5,is_inlier_10,is_inlier_15,is_inlier_20,is_inlier_25,is_inlier_30
Plate01_2012-06-11_294,True,gi-780,10.319024305784062,True,True,True,True,True,True,True
Plate01_2012-06-11_295,True,gi-780,10.695942504366474,True,True,True,True,True,True,True
Plate01_2012-06-11_296,True,gi-780,12.358780736359538,True,True,True,True,True,True,True
Plate01_2012-06-11_297,True,gi-780,15.253750017110423,True,True,True,True,False,False,False
Plate01_2012-06-11_298,True,gi-780,13.967454516688502,True,True,True,True,True,True,True
Plate01_2012-06-11_299,True,gi-780,12.91565431890003,True,True,True,True,True,True,True
Plate01_2012-06-11_300,True,gi-780,16.053647053000898,True,True,True,False,False,False,False
Plate01_2012-06-11_301,True,gi-780,10.757376848233976,True,True,True,True,True,True,True
Plate01_2012-06-11_302,True,gi-780,11.2034907472699,True,True,True,True,True,True,True
Plate01_2012-06-11_303,True,gi-780,11.727482080517476,True,True,True,True,True,True,True
Plate01_2012-06-11_304,True,gi-780,12.992357242553288,True,True,True,True,True,True,True
Plate01_2012-06-11_305,True,gi-780,12.744803948101385,True,True,True,True,True,True,True
Plate01_2012-06-11_306,True,gi-780,14.173666144124827,True,True,True,True,True,True,True
Plate01_2012-06-11_307,True,gi-780,12.623831161795717,True,True,True,True,True,True,True
Plate01_2012-06-11_308,True,gi-780,12.80195065226642,True,True,True,True,True,True,True
Plate01_2012-06-11_309,True,gi-780,15.496056631732397,True,True,True,True,False,False,False
Plate01_2012-06-11_310,True,gi-780,12.212089807740139,True,True,True,True,True,True,True
Plate01_2012-06-11_517,True,gi-780,13.917105652513833,True,True,True,True,True,True,True
Plate01_2012-06-11_518,True,gi-780,12.539052714148447,True,True,True,True,True,True,True
Plate01_2012-06-11_520,True,gi-780,11.20848947657775,True,True,True,True,True,True,True
Plate01_2012-06-11_521,True,gi-780,13.57099531829801,True,True,True,True,True,True,True
Plate01_2012-06-11_522,True,gi-780,11.71075502321504,True,True,True,True,True,True,True
Plate01_2012-06-11_523,False,gi-780,17.53354688508148,True,False,False,False,False,False,False
Plate01_2012-06-11_524,False,gi-780,17.65133393687413,True,False,False,False,False,False,False
Plate01_2012-06-11_525,True,gi-780,14.067397937394627,True,True,True,True,True,True,True
Plate01_2012-06-11_526,True,gi-780,11.485861323287942,True,True,True,True,True,True,True
Plate01_2012-06-11_527,True,gi-780,12.76156212237253,True,True,True,True,True,True,True
Plate01_2012-06-11_528,True,gi-780,11.474088659963778,True,True,True,True,True,True,True
Plate01_2012-06-11_529,True,gi-780,14.218991813141216,True,True,True,True,True,True,True
Plate01_2012-06-11_530,True,gi-780,14.641293251860361,True,True,True,True,True,True,False
Plate01_2012-06-11_531,True,gi-780,11.398662481745822,True,True,True,True,True,True,True
Plate01_2012-06-11_532,True,gi-780,12.655728005316758,True,True,True,True,True,True,True
Plate01_2012-06-11_533,True,gi-780,15.218052450998394,True,True,True,True,True,False,False
Plate01_2012-06-11_534,True,gi-780,15.399171493374679,True,True,True,True,False,False,False
Plate01_2012-06-11_535,True,gi-780,14.80390667419231,True,True,True,True,True,True,False
Plate01_2012-06-11_536,True,gi-780,16.201921717163202,True,True,True,False,False,False,False
Plate01_2012-06-11_769,False,gi-782,15.176090266523223,True,True,True,True,True,False,False
Plate01_2012-06-11_770,False,gi-782,15.438539892437142,True,True,True,True,False,False,False
Plate01_2012-06-11_771,True,gi-782,14.938741054154697,True,True,True,True,True,False,False
Plate01_2012-06-11_772,False,gi-782,17.464086100594447,True,True,False,False,False,False,False
Plate01_2012-06-11_773,True,gi-782,14.432453047221816,True,True,True,True,True,True,True
Plate01_2012-06-11_774,False,gi-782,18.752703528140312,True,False,False,False,False,False,False
Plate01_2012-06-11_775,True,gi-782,13.105240556160807,True,True,True,True,True,True,True
Plate01_2012-06-11_776,True,gi-782,14.210426585934556,True,True,True,True,True,True,True
Plate01_2012-06-11_957,True,gi-782,13.299879819669712,True,True,True,True,True,True,True
Plate01_2012-06-11_959,True,gi-782,14.7984115100501,True,True,True,True,True,True,False
Plate01_2012-06-11_960,True,gi-782,13.62881247609381,True,True,True,True,True,True,True
Plate01_2012-06-11_961,False,gi-782,20.475920612273878,False,False,False,False,False,False,False
Plate01_2012-06-11_1111,False,gi-782,15.61123575348034,True,True,True,False,False,False,False
Plate01_2012-06-11_1112,False,gi-782,15.1395240831149,True,True,True,True,True,False,False
Plate01_2012-06-11_1113,True,gi-782,14.888655840358684,True,True,True,True,True,False,False
Plate01_2012-06-11_1114,False,gi-782,16.853744955603457,True,True,False,False,False,False,False
Plate01_2012-06-11_1115,True,gi-782,14.890089500357758,True,True,True,True,True,False,False
Plate01_2012-06-11_932,True,gi-795,11.763868588522277,True,True,True,True,True,True,True
Plate01_2012-06-11_933,True,gi-795,12.010035633160374,True,True,True,True,True,True,True
Plate01_2012-06-11_934,True,gi-795,11.855014194906563,True,True,True,True,True,True,True
Plate01_2012-06-11_935,True,gi-795,10.883021851184076,True,True,True,True,True,True,True
Plate01_2012-06-11_936,True,gi-795,12.469026447930435,True,True,True,True,True,True,True
Plate01_2012-06-11_937,True,gi-795,13.182718172954193,True,True,True,True,True,True,True
Plate01_2012-06-11_938,True,gi-795,13.009292440856273,True,True,True,True,True,True,True
Plate01_2012-06-11_939,True,gi-795,12.63615383102852,True,True,True,True,True,True,True
Plate01_2012-06-11_940,True,gi-795,17.275232196327323,True,True,False,False,False,False,False
Plate01_2012-06-11_941,True,gi-795,12.963944957890591,True,True,True,True,True,True,True
Plate01_2012-06-11_942,True,gi-795,10.810297001537855,True,True,True,True,True,True,True
Plate01_2012-06-11_943,False,gi-795,24.77003989008002,False,False,False,False,False,False,False
Plate01_2012-06-11_944,True,gi-795,10.833145134091808,True,True,True,True,True,True,True
Plate01_2012-06-11_945,True,gi-795,18.552862955867184,True,False,False,False,False,False,False
Plate01_2012-06-11_946,True,gi-795,15.373747150515042,True,True,True,True,False,False,False
Plate01_2012-06-11_947,True,gi-795,11.789048489607785,True,True,True,True,True,True,True
Plate01_2012-06-11_948,True,gi-795,12.175157490892895,True,True,True,True,True,True,True
Plate01_2012-06-11_949,True,gi-795,12.33731065357469,True,True,True,True,True,True,True
